model,modbus_address,parameter,parameter_manual_reference,unit,register_length,data_type,r_w,indb,setup_read,setup_write,timestamp,read_command,write_command,value_weight,address
EM210-72D.MV5.3.X.OS.X,148,thd_voltage_l3-l1,THD(16h) V23,V,1,int32,r,f,f,f,f,3,NULL,100,NULL
EM210-72D.MV5.3.X.OS.X,150,thd_voltage_l3,THD(16h) V31,V,1,int32,r,f,f,f,f,3,NULL,100,NULL
EM210-72D.MV5.3.X.OS.X,152,current_n,Neutral current (In),A,1,int32,r,f,f,f,f,3,NULL,1000,NULL
EM210-72D.MV5.3.X.OS.X,770,firmware_v,Version code,NULL,1,uint16,r,f,t,f,f,3,NULL,NULL,NULL
EM210-72D.MV5.3.X.OS.X,4099,ct,Current transformer ratio,NULL,1,uint32,r,f,t,f,f,3,16,NULL,NULL
EM210-72D.MV5.3.X.OS.X,4101,vt,Voltage transformer ratio,NULL,1,uint32,r,f,t,f,f,3,16,NULL,NULL
EM210-72D.MV5.3.X.OS.X,4358,thd_enable,THD calculation enabling,NULL,1,uint16,r/w,f,t,f,f,3,6,NULL,NULL
EM210-72D.MV5.3.X.OS.X,8192,device_address,RS485 instrument address,NULL,1,uint16,r/w,f,t,t,f,3,6,NULL,NULL
EM210-72D.MV5.3.X.OS.X,16384,reset,"Reset of all meters (kWhTOT,
kvarhTOT, positive
HoursCounter, negative
HoursCounter)",NULL,1,uint16,r/w,f,t,t,f,3,6,1,NULL
EM210-72D.MV5.3.X.OS.X,20480,serial_number,Serial number,NULL,7,uint16,r,f,t,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,0,voltage_l1,V L1-N,V,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,2,voltage_l2,V L2-N,V,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,4,voltage_l3,V L3-N,V,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
