serial,modbus_address,parameter_description,standard,data_type,data_range,model,mod_default,register_number,indb,setup
62,"[[4220, 4221]]",total_va_hours_exported,sunspec,acc32,"[0, 999999999]","[3, 4]",NULL,2,t,f
63,"[[4222, 4223]]",total_va_hours_exported_phase_a,sunspec,acc32,"[0, 999999999]","[3, 4]",NULL,2,t,f
64,"[[4224, 4225]]",total_va_hours_exported_phase_b,sunspec,acc32,"[0, 999999999]","[3, 4]",NULL,2,t,f
65,"[[4226, 4227]]",total_va_hours_exported_phase_c,sunspec,acc32,"[0, 999999999]","[3, 4]",NULL,2,t,f
66,"[[4228, 4229]]",total_va_hours_imported,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
67,"[[4230, 4231]]",total_va_hours_imported_phase_a,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
68,"[[4232, 4233]]",total_va_hours_imported_phase_b,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
69,"[[4234, 4235]]",total_va_hours_imported_phase_c,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
70,"[[4237, 4238]]",total_var_hours_imported_q1,sunspec,bitfield32,"[0, 999999999]","[2, 4]",NULL,2,t,f
71,"[[4239, 4240]]",total_var_hours_imported_q1_phase_a,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
72,"[[4241, 4242]]",total_var_hours_imported_q1_phase_b,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
73,"[[4243, 4244]]",total_var_hours_imported_q1_phase_c,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
74,"[[4245, 4246]]",total_var_hours_imported_q2,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
75,"[[4247, 4248]]",total_var_hours_imported_q2_phase_a,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
76,"[[4249, 4250]]",total_var_hours_imported_q2_phase_b,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
77,"[[4251, 4252]]",total_var_hours_imported_q2_phase_c,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
78,"[[4253, 4254]]",total_var_hours_exported_q3,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
79,"[[4255, 4256]]",total_var_hours_exported_q3_phase_a,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
80,"[[4257, 4258]]",total_var_hours_exported_q3_phase_b,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
81,"[[4259, 4260]]",total_var_hours_exported_q3_phase_c,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
82,"[[4261, 4262]]",total_var_hours_exported_q4,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
83,"[[4263, 4264]]",total_var_hours_exported_q4_phase_a,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
84,"[[4265, 4266]]",total_var_hours_exported_q4_phase_b,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
85,"[[4267, 4268]]",total_var_hours_exported_q4_phase_c,sunspec,acc32,"[0, 999999999]","[2, 4]",NULL,2,t,f
86,"[[5632, 5633]]",Input_active_power total max demand ,none,Float ,Xx.xxxx kw ,"3,4",none,2,t,f
87,"[[5634, 5636]]",Input_active_power_total_max_demand_occur_time,none,Dword,YYMMDDhhmmss (Second always be 0),"3,4",none,3,t,f
